"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
344,"Waldemar Sługocki","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",8,"Zielona Góra",25037
345,"Weronika Smarduch","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",14,"Nowy Sącz",27031
346,"Kazimierz Smoliński","wyższe","Prawo i Sprawiedliwość",25,"Gdańsk",16177
347,"Anna Sobolak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",3,"Wrocław",7675
348,"Krzysztof Sobolewski","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",18390
349,"Artur Soboń","wyższe","Prawo i Sprawiedliwość",6,"Lublin",32357
350,"Agnieszka Anna Soin","wyższe","Prawo i Sprawiedliwość",3,"Wrocław",18645
351,"Zbigniew Sosnowski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",5,"Toruń",27070
352,"Marek Sowa","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",12,"Kraków",24652
353,"Katarzyna Sójka","wyższe","Prawo i Sprawiedliwość",36,"Kalisz",18138
354,"Magdalena Sroka","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",25,"Gdańsk",18348
355,"Mirosława Stachowiak-Różecka","wyższe","Prawo i Sprawiedliwość",3,"Wrocław",97193
356,"Dariusz Stefaniuk","wyższe","Prawo i Sprawiedliwość",7,"Chełm",29710
357,"Franciszek Sterczewski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",39,"Poznań",10108
358,"Piotr Paweł Strach","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",29,"Katowice",17634
359,"Mirosław Suchoń","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",27,"Bielsko-Biała",30897
360,"Marek Suski","średnie policealne/pomaturalne","Prawo i Sprawiedliwość",17,"Radom",37853
361,"Paweł Suski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",40,"Koszalin",5934
362,"Artur Szałabawka","wyższe","Prawo i Sprawiedliwość",41,"Szczecin",15446
